content,
@JuanSoteloMESI @Claudiashein Ya eres presidenta Xochitl. Tu vas a ganar. Siempre proyectando.,1
@Claudiashein Puro morena presidenta 2024 @Claudiashein ,1
"@kippalpe @osobabas_rico @Claudiashein Hablas de austeridad y en tus campanas no se ve q lo sean,quien las paga!?el austero de Lopez?en cuanto dinero sale cada una de tus giras?si das cuenta al INE?o te haces la loca tu y el ojon de Mario?entiende nunca seras presidenta eres una titere chafa de Lopez,no conectas",0
"@davidjarmengma1 @Xochitl2024 @Claudiashein @lopezobrador_ @JuanJoseRosales No tengo odio no te confundas, simplemente no tolero que una persona vulgar ,corrupta e ignorante ahora quiera ser presidenta ,cuando su cargo actual no lo sabe desempenar como deberia ,y siga cobrando como si estuviera yendo a trabajar ,eso es lo que molesta",0
"@cirilocelismx @EmilioVallejoRL @Claudiashein @XochitlGalvez @YasminEsquivel_ Va a ser tu presidenta, aunque te cueste reconocerlo, #Xochit",1
"@Claudiashein Eres una plagiadora Claudia,no vas a ser presidenta de Mexico vete a tu pais GASA.",0
"@Claudiashein No me judas a Serrat!
Das asco.
Oye, y ya sabes que presidenta no vas a ser, verdad?
JAMAS!!!",0
@GoytortuaGoyto1 @Claudiashein Maldita lagartija hija del KKS. ESTA P3ND3JA NO PUEDE NI DEBE DE LLEGAR A SER PRESIDENTA,0
"@JoseACJZ @Claudiashein Totalmente de ACUERDO!!!!
Sera la PROXIMA PRESIDENTA...
Y aquien le va arder, seran o OTROS https://t.co/PgiAYptrVn",1
"@Xochitl2024 @TomasElOdioso2 @Claudiashein @lopezobrador_ @JuanJoseRosales Ajuuuua!!!
Asi se habla!!!
Ya tenemos presidenta 2024!!!

#XochitlGalvezPresidenta2024",1
"@nanncano @PartidoMorenaMx @Claudiashein Es asesina declarada y no deberia ser ya no digamos presidenta, ni candidata. Su
Lugar es la carcel",0
@tlilkuautli @Claudiashein La proxima Presidenta de Mexico aunque te arda el *,1
@rosariomartzg @lopezobrador_ @Claudiashein No se pero estan saliendo en un dineral! Y todo por que la calca no levanta ya,0
